 ,$/MWh,Power for 4 cars (kw),Charging_Loads(kwh),Charging_Costs ($)
12:00:00 AM,15.39,0,0,0
1:00:00 AM,15.47,0,0,0
2:00:00 AM,14.94,0,0,0
3:00:00 AM,14.95,0,0,0
4:00:00 AM,14.19,0,0,0
5:00:00 AM,6.58,0,0,0
6:00:00 AM,-3.48,0,0,0
7:00:00 AM,-52.70,0,0,0
8:00:00 AM,-7.79,0,0,0
9:00:00 AM,16.47,0,0,0
10:00:00 AM,21.14,0,0,0
11:00:00 AM,15.88,0,0,0
12:00:00 PM,17.89,0,0,0
1:00:00 PM,18.63,0,0,0
2:00:00 PM,19.31,0,0,0
3:00:00 PM,19.63,0,0,0
4:00:00 PM,45.75,0,0,0
5:00:00 PM,38.59,0,0,0
6:00:00 PM,39.04,0,0,0
7:00:00 PM,30.55,600,0,0
7:01:00 PM,30.55,600,10,0.3054691
7:51:00 PM,30.55,600,510,15.5789241
8:00:00 PM,33.09,0,510,15.5789241
8:30:00 PM,33.09,0,510,15.5789241
9:00:00 PM,28.94,600,510,15.5789241
9:30:00 PM,28.94,600,810,24.2601201
10:00:00 PM,23.14,600,1110,32.9413161
11:00:00 PM,21.88,0,1110,32.9413161